Inventory Number,Title,Art Type,Full Year,Media,Image,Framed,Current Owner,Contact Id,Artist Id,Location,Bin,Confirmed Middleton Hills,
A-001064,EIGHT EXPERIENCES,FINE ART,,WOODCUT,i:\image\001064.jpg,true,0,,1995,2169,1A,TRUE,
A-001067,STONEHENGE,FINE ART,1979,"ETCHING, ROULETTE",i:\image\001067.jpg,true,0,,2124,2169,1A,TRUE,
A-001068,BUDS,FINE ART,,LITHOGRAPH,i:\image\001068.jpg,true,0,,2062,2169,,,
A-001069,STILL LIFE II,FINE ART,1979,LITHOGRAPH,i:\image\001069.jpg,true,0,,2062,2169,1A,TRUE,
A-001070,EERIE GROTTO? OKINI,FINE ART,1982,WOODCUT,i:\image\001070.jpg,true,0,,2168,2169,,,
A-001071,DUSK No. 4,FINE ART,,ACRYLIC ON PAPER,i:\image\001071.jpg,true,0,,2065,2169,1A,TRUE,
A-001074,LADDER CHAIR,FINE ART,1982,COLOR POCHOIR,i:\image\001074.jpg,true,0,,282,2169,1A,TRUE,
A-001077,SOUTH SEAS KISS,FINE ART,1988,WOODCUT,i:\image\001077.jpg,true,0,,256,2169,1A,TRUE,
A-001079,CURRENTS IN A BOX,FINE ART,,LITHOGRAPH,i:\image\001079.jpg,true,0,,2125,2169,1A,TRUE,
A-001082,AFRICA PRINT #5,FINE ART,,SERIGRAPH,i:\image\001082.jpg,true,0,,247,2169,1B,TRUE,
A-001083,AFRICA PRINT #6,FINE ART,,SERIGRAPH,I:\Image\001083.jpg,true,0,,247,2169,1B,TRUE,
A-001085,GRAND STREET QUARTETTE  #1,FINE ART,,SERIGRAPH,I:\Image\001087.jpg,true,0,,247,2169,1B,TRUE,
A-001086,GRAND STREET QUARTETTE PRINT # 2,FINE ART,,SERIGRAPH,I:\Image\001086.jpg,true,0,,247,2169,1B,TRUE,
A-001087,GRAND STREET QUARTETTE #3,FINE ART,,SERIGRAPH,I:\Image\001085.jpg,true,0,,247,2169,1B,TRUE,
A-001089,MOROCCO SERIES PRINT #2,FINE ART,,SERIGRAPH,i:\image\001089.jpg,true,0,,247,2169,1B,TRUE,
A-001111,MR. UNPOPULAR,FINE ART,1980,LITHOGRAPH,i:\image\001111.jpg,true,0,,2168,2169,1B,TRUE,
